application,label,file_path,file_name,size_bytes,line_count
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000001.log,container_1445062781478_0011_01_000001.log,239767,1282
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000002.log,container_1445062781478_0011_01_000002.log,8417,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000003.log,container_1445062781478_0011_01_000003.log,8423,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000004.log,container_1445062781478_0011_01_000004.log,8424,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000005.log,container_1445062781478_0011_01_000005.log,8424,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000006.log,container_1445062781478_0011_01_000006.log,8424,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000007.log,container_1445062781478_0011_01_000007.log,8424,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000008.log,container_1445062781478_0011_01_000008.log,8423,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000009.log,container_1445062781478_0011_01_000009.log,8423,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000010.log,container_1445062781478_0011_01_000010.log,8424,68
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000011.log,container_1445062781478_0011_01_000011.log,4807,38
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000012.log,container_1445062781478_0011_01_000012.log,7337,59
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000013.log,container_1445062781478_0011_01_000013.log,18652,103
application_1445062781478_0011,Normal,data\extracted\Hadoop_log\application_1445062781478_0011\container_1445062781478_0011_01_000014.log,container_1445062781478_0011_01_000014.log,3496,27
application_1445062781478_0012,Machine down,data\extracted\Hadoop_log\application_1445062781478_0012\container_1445062781478_0012_01_000001.log,container_1445062781478_0012_01_000001.log,574291,2898
application_1445062781478_0012,Machine down,data\extracted\Hadoop_log\application_1445062781478_0012\container_1445062781478_0012_01_000002.log,container_1445062781478_0012_01_000002.log,8790,71
application_1445062781478_0012,Machine down,data\extracted\Hadoop_log\application_1445062781478_0012\container_1445062781478_0012_01_000003.log,container_1445062781478_0012_01_000003.log,3724,29
